Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R8,1k,R_0805_2012Metric,203.087499,-98.449995,0.0,top
R9,1k,R_0805_2012Metric,203.087499,-96.249995,0.0,top
SW1,SW_Push,SW_SPST_TS-1088-xR025,204.9,-109.999996,0.0,top
SW2,SW_Push,SW_SPST_TS-1088-xR025,204.9,-104.999996,0.0,top
U1,USBLC6-2SC6,SOT-23-6,190.0,-96.962495,-90.0,top
U10,INA240A2D,SOIC-8_3.9x4.9mm_P1.27mm,154.095,-110.019297,90.0,top
U11,TSZ122IYDT,SOIC-8_3.9x4.9mm_P1.27mm,153.095,-120.075,270.0,bottom
U12,LM2664M6,SOT-23-6,162.382499,-121.629998,180.0,bottom
U2,AP22818AKEWT,SOT-23-5,178.958045,-93.447301,0.0,top
U3,LD1117S33,SOT-223-3_TabPin2,171.790001,-99.909996,180.0,top
U4,LD1117S33,SOT-223-3_TabPin2,151.0,-97.0,180.0,top
U5,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,185.0,-124.569995,180.0,top
U7,ISO1540,SOIC-8_3.9x4.9mm_P1.27mm,167.5,-121.005,180.0,top
U8,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,156.85,-121.37,0.0,top
U9,LM321,SOT-23-5,157.9625,-106.594298,0.0,bottom
Y1,FC-135_32.7680KA-A0,XTAL_FC-135_32.7680KA-A0,196.999999,-124.071901,90.0,top
